Year,Rep,Blk,Entry,Treatment,Accession,Name,Main_plot,x,y,salinity_0_6,salinity_6_24,SLA_leaf_area,SLA_leaf_wt,standct_early_row1,standct_early_row2,standct_late_row1,standct_late_row2,plants_m2,X_4_plant_bloom_Julian,flower,height_front,height_back,height,lodging,matu,maturity,survivors_plot,survivor_density,survivor_perc_indian,survivor_perc,testweight_g,seed_200wt_g,seed_ct_200wt,dirty_wt_kg,clean_wt_kg,oil_perc,Comments,Harvest_date
2016,1,11,152,Saline,Ames 31848,UGA-SAM1-156,15023,112.5,540,8.32,7.44,749.09,4.77,17,14,NA,NA,3.345593314,228,74,104,109,106.5,NA,272,121,32,3.453515679,103.2258065,35.55555556,154.33,10.304,200,0.54,0.17,27.55067793,,NA
2016,1,11,159,Control,Ames 31855,UGA-SAM1-163,7023,112.5,220,1.44,2.33,1207.93,6.94,16,22,NA,NA,4.101049869,227,73,130,143,136.5,1,287,136,38,NA,NA,42.22222222,164.16,4.825,200,0.76,0.21,40.34515897,,NA
2016,1,11,163,Control,Ames 31859,UGA-SAM1-167,8021,102.5,255,1.89,2.81,1186.73,5.87,21,26,NA,NA,5.072351153,221,67,155,149,152,1,287,136,47,NA,NA,52.22222222,199.16,11.13,200,1.76,1.38,34.12299593,,NA
2016,1,11,164,Control,Ames 31860,UGA-SAM1-168,7022,107.5,220,1.4,2.26,885.69,4.58,15,18,NA,NA,3.561438044,227,73,124,134,129,1,287,136,33,NA,NA,36.66666667,175.33,5.262,200,0.91,0.32,34.92498075,,NA
2016,1,11,168,Saline,Ames 31864,UGA-SAM1-172,16025,122.5,575,9.18,7.96,1013.2,6.83,7,19,NA,NA,2.805981489,226,72,100,71,85.5,NA,260,109,17,1.834680204,65.38461538,18.88888889,155.42,8.896,200,0.4,0.1,24.58605318,,NA
2016,1,11,175,Saline,Ames 31871,UGA-SAM1-179,16026,127.5,575,9.24,8.05,711.02,5.23,24,16,NA,NA,4.316894599,227,73,58,79,68.5,NA,272,121,29,3.129748584,72.5,32.22222222,174.39,6.892,200,0.65,0.28,35.32247782,,NA
2016,1,11,176,Saline,Ames 31872,UGA-SAM1-180,15026,127.5,540,8.55,7.77,592.38,3.84,12,7,NA,NA,2.050524934,227,73,73,95,84,NA,287,136,17,1.834680204,89.47368421,18.88888889,227.11,6.072,200,0.28,0.08,41.8116463,,NA
2016,1,11,179,Control,Ames 31875,UGA-SAM1-183,7021,102.5,220,1.36,2.19,1010.05,6.74,18,16,NA,NA,3.669360409,227,73,134,146,140,1,272,121,34,NA,NA,37.77777778,143.05,11.814,200,1.07,0.71,24.49425988,,NA
2016,1,11,183,Saline,Ames 31879,UGA-SAM1-187,16024,117.5,575,9.09,7.88,931.23,7.36,6,10,NA,NA,1.726757839,230,76,105,58,81.5,NA,272,121,12,1.29506838,75,13.33333333,140.07,11.834,200,0.31,0.24,29.60898769,,NA
2016,1,11,185,Saline,Ames 31882,UGA-SAM1-190,16020,97.5,575,8.54,7.63,450.34,2.92,4,3,NA,NA,0.755456555,232,78,32,101,66.5,NA,272,121,5,0.539611825,71.42857143,5.555555556,169.5,11.075,200,0.096,0.048,35.27802881,,NA
2016,1,11,198,Saline,Ames 31896,UGA-SAM1-204,16027,132.5,575,9.29,8.14,521.87,3.25,11,9,NA,NA,2.158447299,230,76,62,82,72,NA,277,126,12,1.29506838,60,13.33333333,NA,4.47,200,0.1,0.03,27.68405152,,NA
2016,1,11,200,Saline,Ames 31898,UGA-SAM1-206,15022,107.5,540,8.2,7.34,809.03,5.42,8,4,NA,NA,1.29506838,232,78,78,83,80.5,NA,287,136,15,1.618835475,NA,16.66666667,132.03,10.567,200,0.33,0.19,31.5693334,,NA
2016,1,11,213,Control,Ames 31911,UGA-SAM1-219,8020,97.5,255,1.88,2.77,1734.58,9.59,17,18,NA,NA,3.777282774,218,64,141,146,143.5,2,272,121,35,NA,NA,38.88888889,200.2,10.659,200,1,0.77,29.6383052,,NA
2016,1,11,223,Control,Ames 31921,UGA-SAM1-229,8023,112.5,255,1.91,2.86,1042.72,5.98,25,23,NA,NA,5.180273518,226,72,167,154,160.5,1,272,121,48,NA,NA,53.33333333,189.61,11.479,200,1.27,0.97,26.3251493,,NA
2016,1,11,231,Saline,Ames 31930,UGA-SAM1-238,15028,137.5,540,8.62,8.02,514.66,3.68,11,16,NA,NA,2.913903854,226,72,49,83,66,NA,272,121,24,2.590136759,88.88888889,26.66666667,181.12,7.488,200,0.5,0.31,33.19779957,,NA
2016,1,11,234,Control,Ames 31933,UGA-SAM1-241,8026,127.5,255,2,2.88,1054.84,7.03,21,21,NA,NA,4.532739329,228,74,113,106,109.5,4,287,136,42,NA,NA,46.66666667,171.53,8.079,200,0.58,0.36,39.10265614,,NA
2016,1,11,241,Control,Ames 31940,UGA-SAM1-248,8022,107.5,255,1.9,2.84,2205.12,5.89,26,21,NA,NA,5.072351153,218,64,125,137,131,1,272,121,47,NA,NA,52.22222222,157.73,11.693,200,1.11,0.75,26.96725882,,NA
2016,1,11,243,Saline,Ames 31943,UGA-SAM1-251,15024,117.5,540,8.42,7.54,520.54,4.09,7,3,NA,NA,1.07922365,228,74,82,64,73,NA,272,121,9,0.971301285,90,10,200.72,5.531,200,0.34,0.18,30.34658593,,NA
2016,1,11,25,Control,Ames 31719,UGA-SAM1-026,7020,97.5,220,1.33,2.11,835.96,5.2,19,19,NA,NA,4.101049869,228,74,142,154,148,1,287,136,38,NA,NA,42.22222222,170.8,9.225,200,0.69,0.45,31.07548519,,NA
2016,1,11,28,Saline,Ames 31722,UGA-SAM1-029,16022,107.5,575,8.85,7.74,432.85,2.98,7,6,NA,NA,1.402990745,230,76,73,67,70,NA,287,136,8,0.86337892,61.53846154,8.888888889,122.69,20.667,200,0.15,0.07,16.38117161,,NA
2016,1,11,32,Control,Ames 31727,UGA-SAM1-034,7025,122.5,220,1.55,2.45,1197.53,7.09,9,9,NA,NA,1.942602569,230,76,157,115,136,1,287,136,18,NA,NA,20,212.58,5.555,200,0.59,0.19,41.64332598,,NA
2016,1,11,43,Control,Ames 31738,UGA-SAM1-045,8024,117.5,255,1.93,2.87,2141.33,6.76,20,20,NA,NA,4.316894599,226,72,175,153,164,4,287,136,40,NA,NA,44.44444444,169.88,7.379,200,0.18,0.11,35.77300662,,NA
2016,1,11,49,Saline,Ames 31744,UGA-SAM1-051,15021,102.5,540,8.06,7.25,924.46,6.48,8,13,NA,NA,2.266369664,227,73,84,130,107,NA,272,121,21,2.266369664,100,23.33333333,151.5,16.692,200,0.62,0.44,27.42092264,,NA
2016,1,11,50,Saline,Ames 31745,UGA-SAM1-052,16023,112.5,575,8.98,7.81,626.22,4.8,5,8,NA,NA,1.402990745,226,72,65,61,63,NA,277,126,13,1.402990745,100,14.44444444,152.43,12.264,200,0.51,0.23,22.18858954,,NA
2016,1,11,57,Control,Ames 31752,UGA-SAM1-059,7028,137.5,220,1.77,2.55,820.3,5.44,19,21,NA,NA,4.316894599,226,72,129,148,138.5,7,287,136,40,NA,NA,44.44444444,169.71,10.991,200,0.26,0.16,36.7237954,,NA
