Year,Rep,Blk,Entry,Treatment,Accession,Name,Main_plot,x,y,salinity_0_6,salinity_6_24,SLA_leaf_area,SLA_leaf_wt,standct_early_row1,standct_early_row2,standct_late_row1,standct_late_row2,plants_m2,X_4_plant_bloom_Julian,flower,height_front,height_back,height,lodging,matu,maturity,survivors_plot,survivor_density,survivor_perc_indian,survivor_perc,testweight_g,seed_200wt_g,seed_ct_200wt,dirty_wt_kg,clean_wt_kg,oil_perc,Comments,Harvest_date
2016,1,5,199,Control,Ames 31897,UGA-SAM1-205,3015,72.5,80,0,0,1272.23,6.89,16,10,NA,NA,2.805981489,228,77,120,105,112.5,3,287,136,26,NA,NA,28.88888889,182.68,7.341,200,0.99,0.63,41.00037189,,NA
2016,1,5,215,Control,Ames 31913,UGA-SAM1-221,4012,57.5,115,0,0.14,1011.46,4.7,14,11,NA,NA,2.698059124,228,77,104,110,107,2,287,136,25,NA,NA,27.77777778,145,11.206,200,NA,0.16,29.71235511,,NA
2016,1,5,218,Control,Ames 31916,UGA-SAM1-224,4013,62.5,115,0,0.21,1032.76,6.12,15,19,NA,NA,3.669360409,227,76,130,150,140,2,287,136,34,NA,NA,37.77777778,207.52,7.473,200,1.4,1.04,45.5377434,,NA
2016,1,5,258,Saline,Ames 31958,UGA-SAM1-266,11017,82.5,400,6.22,6.73,543.07,3.43,8,6,NA,NA,1.51091311,228,77,76,107,91.5,2,287,136,8,0.86337892,57.14285714,8.888888889,228.48,6.002,200,0.17,0.07,36.31108748,,NA
2016,1,5,26,Saline,Ames 31720,UGA-SAM1-027,11016,77.5,400,6.09,6.53,640.4,4.34,9,5,NA,NA,1.51091311,232,81,95,106,100.5,9,287,136,13,1.402990745,92.85714286,14.44444444,112.27,15.253,200,0.21,0.06,15.11242226,,NA
2016,1,5,260,Saline,Ames 31960,UGA-SAM1-268,11012,57.5,400,5.53,5.76,950.66,6.49,19,11,NA,NA,3.237670949,228,77,116,139,127.5,1,272,121,21,2.266369664,70,23.33333333,150.28,12.12,200,0.8,0.62,21.08696804,,NA
2016,1,5,265,Control,Ames 31965,UGA-SAM1-273,4016,77.5,115,0,0.47,1369.22,7.8,24,18,NA,NA,4.532739329,226,75,111,107,109,2,287,136,42,NA,NA,46.66666667,152.35,15.708,200,1.72,1.29,30.30084588,,NA
2016,1,5,271,Control,Ames 31971,UGA-SAM1-279,4015,72.5,115,0,0.38,1279.92,7.79,14,16,NA,NA,3.237670949,226,75,124,170,147,3,287,136,30,NA,NA,33.33333333,202.81,8.318,200,0.5,0.28,38.07987425,,NA
2016,1,5,273,Saline,Ames 31974,UGA-SAM1-282,11019,92.5,400,6.46,7.12,611.8,4.75,10,14,NA,NA,2.590136759,228,77,76,77,76.5,1,287,136,22,2.374292029,91.66666667,24.44444444,186.89,13.835,200,0.45,0.42,36.81752835,,NA
2016,1,5,278,Saline,Ames 31979,UGA-SAM1-287,11013,62.5,400,5.67,5.94,689.41,5.24,9,4,NA,NA,1.402990745,232,81,118,120,119,4,287,136,12,1.29506838,92.30769231,13.33333333,204.34,7.484,200,0.15,0.1,36.8958144,,NA
2016,1,5,280,Saline,Ames 31981,UGA-SAM1-289,12016,77.5,435,6.44,6.74,868.59,7.34,2,2,NA,NA,0.43168946,228,77,103,104,103.5,1,277,126,4,0.43168946,100,4.444444444,176.81,16.901,200,0.25,0.23,30.68040249,,NA
2016,1,5,283,Control,HA 467,,3017,82.5,80,0,0.09,1131.84,6.73,24,23,NA,NA,5.072351153,230,79,121,116,118.5,2,277,126,47,NA,NA,52.22222222,164.7,6.784,200,1.53,1.04,34.26681191,,NA
2016,1,5,31,Control,Ames 31726,UGA-SAM1-033,3013,62.5,80,0,0,1641.15,8.81,13,9,NA,NA,2.374292029,227,76,105,125,115,3,277,126,22,NA,NA,24.44444444,190.25,10.276,200,0.32,0.24,38.89711148,,NA
2016,1,5,38,Control,Ames 31733,UGA-SAM1-040,4018,87.5,115,0,0.67,1727.96,8.25,20,6,NA,NA,2.805981489,227,76,104,134,119,2,287,136,26,NA,NA,28.88888889,167.75,10.301,200,0.77,0.47,33.03703507,,NA
2016,1,5,40,Saline,Ames 31735,UGA-SAM1-042,11018,87.5,400,6.34,6.93,467.88,3.03,15,9,NA,NA,2.590136759,226,75,50,70,60,1,287,136,14,1.51091311,58.33333333,15.55555556,226.55,6.216,200,0.29,0.14,37.55061912,,NA
2016,1,5,70,Control,Ames 31765,UGA-SAM1-072,3019,92.5,80,0,0.24,1119.92,6.86,15,14,NA,NA,3.129748584,227,76,140,147,143.5,1,277,126,29,NA,NA,32.22222222,172.16,10.567,200,1.1,0.87,32.57846105,,NA
2016,1,5,83,Saline,Ames 31778,UGA-SAM1-086,11014,67.5,400,5.82,6.14,834.2,5.83,13,12,NA,NA,2.698059124,227,76,115,137,126,3,263,112,16,1.726757839,64,17.77777778,179.49,16.89,200,0.69,0.52,29.55359515,,NA
2016,1,5,93,Control,Ames 31789,UGA-SAM1-097,3012,57.5,80,0,0,1157.57,6.62,10,7,NA,NA,1.834680204,226,75,123,116,119.5,1,277,126,17,NA,NA,18.88888889,145.39,19.885,200,0.36,0.19,19.06545762,,NA
2016,1,6,104,Saline,Ames 31800,UGA-SAM1-108,13013,62.5,470,6.31,6.04,763.81,4.53,1,7,NA,NA,0.86337892,228,77,69,61,65,NA,272,121,6,0.64753419,75,6.666666667,NA,6.405,200,0.04,0.03,NA,,NA
2016,1,6,109,Control,Ames 31805,UGA-SAM1-113,6017,82.5,185,0.97,1.18,858.25,4.06,3,2,NA,NA,0.539611825,230,79,126,115,120.5,1,287,136,5,NA,NA,5.555555556,177.38,21.839,200,0.25,0.12,30.22583487,,NA
2016,1,6,121,Control,Ames 31817,UGA-SAM1-125,6015,72.5,185,0.81,0.95,1058.86,6.7,6,7,NA,NA,1.402990745,227,76,116,150,133,2,287,136,13,NA,NA,14.44444444,196.36,10.37,200,0.86,0.65,39.60597862,,NA
2016,1,6,122,Control,Ames 31818,UGA-SAM1-126,5012,57.5,150,0.09,0.34,904.74,5.66,25,15,NA,NA,4.316894599,225,74,133,143,138,1,272,121,40,NA,NA,44.44444444,167.83,12.785,200,1.78,0.97,38.75609625,,NA
2016,1,6,126,Control,Ames 31822,UGA-SAM1-130,6016,77.5,185,0.89,1.05,771.75,4.22,9,12,NA,NA,2.266369664,228,77,130,122,126,3,287,136,21,NA,NA,23.33333333,166.22,8.844,200,1.28,1.18,34.94423494,,NA
2016,1,6,138,Control,Ames 31834,UGA-SAM1-142,6013,62.5,185,0.65,0.81,1032.89,5.27,11,7,NA,NA,1.942602569,228,77,123,131,127,1,287,136,18,NA,NA,20,186.49,5.916,200,0.66,0.28,37.8850004,,NA
2016,1,6,145,Saline,Ames 31841,UGA-SAM1-149,13019,92.5,470,7.05,7.02,733.07,5.12,10,13,NA,NA,2.482214394,221,70,116,96,106,NA,272,121,25,2.698059124,108.6956522,27.77777778,189.02,8.713,200,0.8,0.46,38.47876386,,NA
2016,1,6,161,Saline,Ames 31857,UGA-SAM1-165,14012,57.5,505,6.3,6.1,608.62,3.84,8,8,NA,NA,1.726757839,227,76,115,104,109.5,NA,272,121,17,1.834680204,106.25,18.88888889,192.08,5.39,200,0.79,0.49,35.94541392,,NA
2016,1,6,164,Saline,Ames 31860,UGA-SAM1-168,14013,62.5,505,6.46,6.17,808.57,4.56,6,9,NA,NA,1.618835475,228,77,93,94,93.5,NA,272,121,16,1.726757839,106.6666667,17.77777778,190.52,5.288,200,0.882,0.277,33.32323876,,NA
2016,1,6,170,Control,Ames 31866,UGA-SAM1-174,6014,67.5,185,0.73,0.87,1144.12,6.91,18,13,NA,NA,3.345593314,228,77,94,76,85,1,287,136,31,NA,NA,34.44444444,169.27,7.431,200,0.9,0.59,41.6288295,,NA
2016,1,6,180,Saline,Ames 31876,UGA-SAM1-184,14014,67.5,505,6.63,6.25,680.76,3.9,15,13,NA,NA,3.021826219,221,70,81,100,90.5,NA,272,121,20,2.158447299,71.42857143,22.22222222,189.7,9.645,200,0.78,0.48,30.93031915,,NA
2016,1,6,182,Saline,Ames 31878,UGA-SAM1-186,13018,87.5,470,6.95,6.84,682.99,4.04,11,11,NA,NA,2.374292029,226,75,76,64,70,NA,277,126,17,1.834680204,77.27272727,18.88888889,214.12,6.133,200,0.83,0.45,41.66200559,,NA
2016,1,6,202,Control,Ames 31900,UGA-SAM1-208,5015,72.5,150,0.37,0.55,985.01,5.62,9,18,NA,NA,2.913903854,232,81,124,145,134.5,9,287,136,27,NA,NA,30,NA,8.121,200,0.09,0.05,NA,,NA
2016,1,6,212,Control,Ames 31910,UGA-SAM1-218,6012,57.5,185,0.58,0.76,838.14,4.57,19,14,NA,NA,3.561438044,228,77,121,141,131,1,287,136,33,NA,NA,36.66666667,175.64,6.06,200,1.04,0.44,36.80078115,,NA
2016,1,6,214,Saline,Ames 31912,UGA-SAM1-220,13014,67.5,470,6.45,6.17,1008.71,6.58,14,14,NA,NA,3.021826219,221,70,94,126,110,NA,272,121,24,2.590136759,85.71428571,26.66666667,206.04,12.127,200,1.42,1.09,30.52583983,,NA
2016,1,6,215,Saline,Ames 31913,UGA-SAM1-221,13015,72.5,470,6.59,6.32,989.96,6.4,13,19,NA,NA,3.453515679,226,75,104,112,108,NA,277,126,22,2.374292029,68.75,24.44444444,148.7,8.092,200,0.51,0.18,24.30465172,,NA
2016,1,6,217,Saline,Ames 31915,UGA-SAM1-223,14015,72.5,505,6.78,6.35,598.71,3.27,12,25,NA,NA,3.993127504,235,84,52,103,77.5,NA,287,136,NA,NA,NA,NA,NA,NA,200,NA,NA,31.1468524,,NA
2016,1,6,223,Saline,Ames 31921,UGA-SAM1-229,13011,52.5,470,6,5.82,979.53,7.31,12,8,NA,NA,2.158447299,228,77,139,161,150,NA,263,112,19,2.050524934,95,21.11111111,175.55,14.093,200,1.23,0.7,21.20792552,,NA
2016,1,6,225,Saline,Ames 31923,UGA-SAM1-231,14018,87.5,505,7.18,6.73,618.75,4.5,11,9,NA,NA,2.158447299,235,84,89,98,93.5,NA,277,126,16,1.726757839,80,17.77777778,144.43,8.723,200,0.29,0.17,30.87064941,,NA
2016,1,6,232,Control,Ames 31931,UGA-SAM1-239,5018,87.5,150,0.66,0.93,881.86,5.16,18,15,NA,NA,3.561438044,221,70,129,101,115,1,287,136,33,NA,NA,36.66666667,215.7,5.939,200,0.84,0.42,39.65243935,,NA
2016,1,6,245,Control,Ames 31945,UGA-SAM1-253,5019,92.5,150,0.77,1.08,1602.05,7.99,15,20,NA,NA,3.777282774,218,67,144,132,138,1,272,121,35,NA,NA,38.88888889,187.32,13.064,200,1.17,0.97,26.16763282,,NA
2016,1,6,250,Saline,Ames 31950,UGA-SAM1-258,13016,77.5,470,6.72,6.48,997.41,6.59,17,16,NA,NA,3.561438044,228,77,129,119,124,NA,277,126,29,3.129748584,87.87878788,32.22222222,145.49,11.328,200,1.47,1.05,34.77789297,,NA
2016,1,6,257,Control,Ames 31957,UGA-SAM1-265,5017,82.5,150,0.56,0.79,1207.37,6.88,23,22,NA,NA,4.856506424,228,77,166,170,168,2,277,126,45,NA,NA,50,146.88,8.925,200,0.84,0.51,36.41882856,,NA
2016,1,6,267,Control,Ames 31967,UGA-SAM1-275,5013,62.5,150,0.18,0.39,1214.47,7.79,4,5,NA,NA,0.971301285,225,74,143,150,146.5,2,287,136,9,NA,NA,10,163.86,10.659,200,0.15,0.06,32.81505204,,NA
2016,1,6,270,Control,Ames 31970,UGA-SAM1-278,6018,87.5,185,1.05,1.31,925.8,5.06,17,6,NA,NA,2.482214394,221,70,130,113,121.5,2,287,136,23,NA,NA,25.55555556,187.46,6.408,200,0.78,0.45,43.209754,,NA
2016,1,6,272,Control,Ames 31972,UGA-SAM1-280,5016,77.5,150,0.47,0.66,1268.51,6.33,17,7,NA,NA,2.590136759,232,81,112,110,111,1,272,121,24,NA,NA,26.66666667,166.88,8.952,200,0.79,0.44,32.5038739,,NA
2016,1,6,285,Saline,RHA 472,,14011,52.5,505,6.13,6.05,752.37,4.6,3,16,NA,NA,2.050524934,228,77,78,68,73,NA,272,121,19,2.050524934,100,21.11111111,NA,7.09,200,0.431,0.219,39.58715108,,NA
2016,1,6,288,Saline,RHA 478,,13012,57.5,470,6.15,5.93,1150.69,8.26,12,12,NA,NA,2.590136759,228,77,106,112,109,NA,277,126,21,2.266369664,87.5,23.33333333,205.37,5.922,200,1.39,0.73,38.22225765,,NA
2016,1,6,32,Saline,Ames 31727,UGA-SAM1-034,14017,82.5,505,7.06,6.59,663.76,4.99,5,6,NA,NA,1.187146015,232,81,107,133,120,NA,277,126,9,0.971301285,81.81818182,10,NA,3.513,100,0.13,0.01,NA,100 seed count,NA
2016,1,6,33,Control,Ames 31728,UGA-SAM1-035,6011,52.5,185,0.51,0.72,784.68,3.93,9,8,NA,NA,1.834680204,221,70,136,108,122,1,287,136,17,NA,NA,18.88888889,192.54,12.109,200,0.4,0.31,38.92576607,,NA
2016,1,6,55,Control,Ames 31750,UGA-SAM1-057,5011,52.5,150,0.01,0.3,911.84,6.42,6,11,NA,NA,1.834680204,221,70,120,126,123,1,287,136,17,NA,NA,18.88888889,200.26,9.628,200,0.49,0.17,42.46849359,,NA
2016,1,6,59,Control,Ames 31754,UGA-SAM1-061,5014,67.5,150,0.28,0.46,917.78,5.32,14,10,NA,NA,2.590136759,228,77,119,142,130.5,1,287,136,24,NA,NA,26.66666667,160,11.933,200,0.99,NA,35.15166105,moldy,NA
2016,1,6,87,Saline,Ames 31782,UGA-SAM1-090,13017,82.5,470,6.84,6.65,853.76,5.77,5,10,NA,NA,1.618835475,228,77,109,100,104.5,NA,272,121,9,0.971301285,60,10,160.06,11.516,200,0.28,0.17,27.74697901,,NA
2016,1,6,88,Saline,Ames 31783,UGA-SAM1-091,14016,77.5,505,6.93,6.46,499.25,3.22,18,17,NA,NA,3.777282774,227,76,55,101,78,NA,272,121,27,2.913903854,77.14285714,30,150.2,12.795,200,0.51,0.34,28.5628456,,NA
2016,1,7,10,Control,Ames 31704,UGA-SAM1-011,7015,72.5,220,1.14,1.72,952.79,6.99,14,22,NA,NA,3.885205139,215,64,83,75,79,1,263,112,36,NA,NA,40,215.08,11.406,200,0.9,0.72,36.40172373,,NA
2016,1,7,100,Control,Ames 31796,UGA-SAM1-104,7012,57.5,220,1.01,1.51,947.45,5.45,17,20,NA,NA,3.993127504,221,70,134,131,132.5,3,272,121,37,NA,NA,41.11111111,206.66,10.532,200,1.36,1.09,38.30189683,,NA
2016,1,7,129,Saline,Ames 31825,UGA-SAM1-133,16016,77.5,575,7.8,7.45,648.78,4.66,13,7,NA,NA,2.158447299,227,76,80,81,80.5,NA,272,121,17,1.834680204,85,18.88888889,112.2,9.488,200,0.421,0.143,32.95185205,,NA
2016,1,7,13,Control,Ames 31707,UGA-SAM1-014,7018,87.5,220,1.26,1.95,917.34,5.36,23,11,NA,NA,3.669360409,227,76,130,130,130,1,287,136,34,NA,NA,37.77777778,181.12,5.798,200,1.64,0.89,40.62671169,,NA
2016,1,7,130,Saline,Ames 31826,UGA-SAM1-134,16018,87.5,575,8.18,7.54,324.51,2.4,12,2,NA,NA,1.51091311,235,84,40,62,51,NA,287,136,12,1.29506838,85.71428571,13.33333333,109.59,21.28,200,0.13,0.05,17.30146553,,NA
2016,1,7,14,Saline,Ames 31708,UGA-SAM1-015,15012,57.5,540,6.38,6.61,783.65,4.8,12,10,NA,NA,2.374292029,227,76,85,95,90,NA,272,121,24,2.590136759,109.0909091,26.66666667,201.2,6.507,200,0.66,0.4,41.19411326,,NA
2016,1,7,149,Saline,Ames 31845,UGA-SAM1-153,16014,67.5,575,7.41,7.37,964.01,7.47,16,11,NA,NA,2.913903854,225,74,79,95,87,NA,272,121,27,2.913903854,100,30,151.34,9.828,200,0.41,0.12,31.83148335,,NA
2016,1,7,15,Saline,Ames 31709,UGA-SAM1-016,15019,92.5,540,7.74,7.08,405.08,2.75,4,3,NA,NA,0.755456555,230,79,57,56,56.5,NA,277,126,8,0.86337892,114.2857143,8.888888889,NA,6.452,200,0.04,0.01,NA,,NA
2016,1,7,150,Control,Ames 31846,UGA-SAM1-154,8016,77.5,255,1.83,2.59,1108.65,5.53,11,6,NA,NA,1.834680204,228,77,129,154,141.5,1,287,136,17,NA,NA,18.88888889,213.95,5.923,200,0.72,0.23,42.7585565,,NA
2016,1,7,156,Control,Ames 31852,UGA-SAM1-160,7013,62.5,220,1.06,1.57,732.15,4.78,20,19,NA,NA,4.208972234,227,76,95,135,115,3,287,136,39,NA,NA,43.33333333,164.6,9.328,200,0.85,0.57,35.89838056,,NA
2016,1,7,16,Saline,Ames 31710,UGA-SAM1-017,15015,72.5,540,7,6.79,810.73,5.94,7,5,NA,NA,1.29506838,230,79,99,96,97.5,NA,277,126,8,0.86337892,66.66666667,8.888888889,155.46,10.95,200,0.25,0.12,28.8003826,,NA
2016,1,7,17,Control,Ames 31711,UGA-SAM1-018,7011,52.5,220,0.96,1.45,1439.42,9.02,13,14,NA,NA,2.913903854,228,77,138,146,142,1,287,136,27,NA,NA,30,173.67,9.862,200,1.82,1.41,41.71444542,,NA
2016,1,7,171,Control,Ames 31867,UGA-SAM1-175,7014,67.5,220,1.1,1.64,972.96,5.16,13,9,NA,NA,2.374292029,228,77,120,138,129,5,272,121,22,NA,NA,24.44444444,166.93,9.545,200,0.35,0.21,34.09427502,,NA
2016,1,7,173,Control,Ames 31869,UGA-SAM1-177,8013,62.5,255,1.74,2.43,1260.63,7.25,13,14,NA,NA,2.913903854,227,76,115,114,114.5,2,287,136,27,NA,NA,30,140.77,19.158,200,1.24,0.96,26.89078308,,NA
2016,1,7,181,Saline,Ames 31877,UGA-SAM1-185,15017,82.5,540,7.38,6.93,403.6,2.93,7,6,NA,NA,1.402990745,230,79,75,52,63.5,NA,277,126,15,1.618835475,115.3846154,16.66666667,134.55,11.862,200,0.37,0.26,36.86556434,,NA
2016,1,7,192,Control,Ames 31889,UGA-SAM1-197,8015,72.5,255,1.8,2.54,1378.94,8.06,4,18,NA,NA,2.374292029,228,77,124,140,132,1,287,136,22,NA,NA,24.44444444,223.85,6.374,200,1.26,0.38,39.88187405,,NA
2016,1,7,193,Control,Ames 31890,UGA-SAM1-198,8012,57.5,255,1.71,2.37,924.57,5.81,11,20,NA,NA,3.345593314,221,70,125,130,127.5,1,287,136,31,NA,NA,34.44444444,210.99,7.707,200,1.21,0.75,38.69557122,,NA
2016,1,7,197,Saline,Ames 31895,UGA-SAM1-203,16015,72.5,575,7.61,7.41,622.13,4.85,13,9,NA,NA,2.374292029,235,84,99,97,98,NA,276,125,21,2.266369664,95.45454545,23.33333333,151.93,4.575,200,0.25,0.07,21.95116144,,NA
2016,1,7,207,Control,Ames 31905,UGA-SAM1-213,7017,82.5,220,1.22,1.87,826.45,4.61,8,13,NA,NA,2.266369664,227,76,115,95,105,1,272,121,21,NA,NA,23.33333333,223.08,5.309,200,0.83,0.37,42.27921439,,NA
2016,1,7,25,Saline,Ames 31719,UGA-SAM1-026,15013,62.5,540,6.59,6.67,664.19,5.08,10,13,NA,NA,2.482214394,229,78,85,117,101,NA,287,136,19,2.050524934,82.60869565,21.11111111,161.55,10.053,200,0.92,0.57,30.1504298,,NA
2016,1,7,251,Control,Ames 31951,UGA-SAM1-259,7016,77.5,220,1.18,1.79,1092.61,6.95,18,13,NA,NA,3.345593314,232,81,152,192,172,5,287,136,31,NA,NA,34.44444444,164.07,6.715,200,0.58,0.28,32.79998939,,NA
2016,1,7,264,Control,Ames 31964,UGA-SAM1-272,8018,87.5,255,1.86,2.69,912.62,6.05,15,10,NA,NA,2.698059124,232,81,179,145,162,1,287,136,25,NA,NA,27.77777778,177.14,11.304,200,0.98,0.6,29.45897851,,NA
2016,1,7,266,Saline,Ames 31966,UGA-SAM1-274,16012,57.5,575,7,7.29,788.26,4.6,14,11,NA,NA,2.698059124,225,74,85,100,92.5,NA,272,121,21,2.266369664,84,23.33333333,211.1,6.876,200,0.82,0.49,38.68648822,,NA
2016,1,7,280,Control,Ames 31981,UGA-SAM1-289,8011,52.5,255,1.67,2.32,870.8,4.98,3,6,NA,NA,0.971301285,228,77,159,150,154.5,2,287,136,9,NA,NA,10,162.74,11.34,200,0.28,0.22,29.44593553,,NA
2016,1,7,39,Control,Ames 31734,UGA-SAM1-041,8017,82.5,255,1.85,2.64,1155.03,6.98,9,12,NA,NA,2.266369664,228,77,130,143,136.5,1,287,136,21,NA,NA,23.33333333,208.41,6.583,200,1.43,0.72,41.75191033,,NA
2016,1,7,61,Saline,Ames 31756,UGA-SAM1-063,15014,67.5,540,6.8,6.73,995.72,7.16,15,18,NA,NA,3.561438044,225,74,85,113,99,NA,277,126,22,2.374292029,66.66666667,24.44444444,159.7,10.393,200,0.75,0.46,30.55852976,,NA
2016,1,7,62,Saline,Ames 31757,UGA-SAM1-064,16017,82.5,575,8,7.49,407.5,3.65,6,4,NA,NA,1.07922365,230,79,66,71,68.5,NA,277,126,10,1.07922365,100,11.11111111,153.44,9.309,200,0.192,0.092,27.18058283,,NA
2016,1,7,69,Control,Ames 31764,UGA-SAM1-071,7019,92.5,220,1.29,2.03,1239.55,8.03,14,12,NA,NA,2.805981489,230,79,138,136,137,1,272,121,26,NA,NA,28.88888889,156.34,8.313,200,1.15,0.76,33.32598475,,NA
2016,1,7,79,Saline,Ames 31774,UGA-SAM1-081,16013,62.5,575,7.2,7.33,626.53,3.73,13,10,NA,NA,2.482214394,221,70,92,111,101.5,NA,272,121,21,2.266369664,91.30434783,23.33333333,188.08,9.28,200,0.33,0.18,36.47413747,,NA
2016,1,7,8,Saline,Ames 31702,UGA-SAM1-009,15011,52.5,540,6.18,6.57,623.45,3.85,10,10,NA,NA,2.158447299,226,75,93,100,96.5,NA,277,126,24,2.590136759,NA,26.66666667,161.46,7.403,200,0.82,0.46,28.79111842,,NA
2016,1,7,84,Control,Ames 31779,UGA-SAM1-087,8014,67.5,255,1.77,2.49,1302.02,7.5,12,6,NA,NA,1.942602569,230,79,132,154,143,1,287,136,18,NA,NA,20,173.9,10.535,200,0.89,0.72,35.65988024,,NA
2016,1,7,92,Saline,Ames 31788,UGA-SAM1-096,15018,87.5,540,7.57,7,469.45,3.58,19,6,NA,NA,2.698059124,221,70,74,51,62.5,NA,272,121,21,2.266369664,84,23.33333333,202.65,8.646,200,0.2,0.14,42.583949,,NA
2016,1,7,93,Saline,Ames 31789,UGA-SAM1-097,16011,52.5,575,6.81,7.26,1082.91,6.72,1,5,NA,NA,0.64753419,230,79,55,87,71,NA,272,121,4,0.43168946,66.66666667,4.444444444,105.69,16.264,200,0.14,0.06,11.24703088,,NA
2016,1,7,99,Saline,Ames 31795,UGA-SAM1-103,15016,77.5,540,7.19,6.86,418.74,3.11,17,9,NA,NA,2.805981489,230,79,80,82,81,NA,277,126,23,2.482214394,88.46153846,25.55555556,179.28333,9.67,200,0.19,0.13,33.06132213,,NA
2016,1,8,104,Control,Ames 31800,UGA-SAM1-108,1021,102.5,10,0,0,1355.72,7.1,8,15,NA,NA,2.482214394,228,74,131,129,130,1,263,112,23,NA,NA,25.55555556,173.12,10.708,200,0.32,0.13,38.73145045,,NA
2016,1,8,118,Saline,Ames 31814,UGA-SAM1-122,10020,97.5,365,5.83,6.26,737.24,5.23,16,19,NA,NA,3.777282774,228,74,91,96,93.5,3,272,121,31,3.345593314,88.57142857,34.44444444,206.39,6.265,200,0.48,0.25,39.37649561,,NA
2016,1,8,141,Control,Ames 31837,UGA-SAM1-145,2022,107.5,45,0,0,1139.27,5.91,18,19,NA,NA,3.993127504,227,73,152,138,145,1,277,126,37,NA,NA,41.11111111,178.32,10.657,200,0.47,0.38,32.31431304,,NA
2016,1,8,149,Control,Ames 31845,UGA-SAM1-153,1020,97.5,10,0,0,1371.47,8.94,36,21,NA,NA,6.151574803,226,72,121,114,117.5,1,272,121,57,NA,NA,63.33333333,184.87,8.581,200,1.3,0.9,36.39174161,,NA
2016,1,8,161,Control,Ames 31857,UGA-SAM1-165,2020,97.5,45,0,0,1023.44,4.68,16,17,NA,NA,3.561438044,226,72,136,167,151.5,5,277,126,33,NA,NA,36.66666667,188.14,5.285,200,0.82,0.35,37.82927607,,NA
2016,1,8,17,Saline,Ames 31711,UGA-SAM1-018,9028,137.5,330,4.81,5.11,1492.83,9.98,22,22,NA,NA,4.748584059,221,67,167,130,148.5,1,287,136,42,4.532739329,95.45454545,46.66666667,NA,10.695,200,0.06,0.04,NA,,NA
2016,1,8,174,Control,Ames 31870,UGA-SAM1-178,2025,122.5,45,0,0,1105.41,6.56,20,31,NA,NA,5.504040613,221,67,163,165,164,3,263,112,51,NA,NA,56.66666667,209.95,9.938,200,1.63,1.29,41.85378312,,NA
2016,1,8,179,Saline,Ames 31875,UGA-SAM1-183,9022,107.5,330,4.71,5.12,898.65,5.88,19,17,NA,NA,3.885205139,227,73,122,139,130.5,1,272,121,33,3.561438044,91.66666667,36.66666667,151.69,12.657,200,0.64,0.46,27.02648954,,NA
2016,1,8,183,Control,Ames 31879,UGA-SAM1-187,2026,127.5,45,0,0,1412.05,8.82,23,21,NA,NA,4.748584059,228,74,173,174,173.5,4,263,112,44,NA,NA,48.88888889,183.16,9.511,200,0.82,0.52,29.27365403,,NA
2016,1,8,193,Saline,Ames 31890,UGA-SAM1-198,9027,132.5,330,4.79,5.12,790,5.27,20,20,NA,NA,4.316894599,221,67,109,121,115,1,287,136,37,3.993127504,92.5,41.11111111,206.29,7.62,200,1.44,0.95,40.50275464,,NA
2016,1,8,194,Saline,Ames 31891,UGA-SAM1-199,9021,102.5,330,4.69,5.1,895.86,5.37,12,23,NA,NA,3.777282774,225,71,118,103,110.5,1,287,136,35,3.777282774,100,38.88888889,212.88,8.006,200,1.16,0.76,40.02686385,,NA
2016,1,8,203,Control,Ames 31901,UGA-SAM1-209,1022,107.5,10,0,0,1422.42,7.33,24,21,NA,NA,4.856506424,221,67,139,151,145,3,277,126,45,NA,NA,50,156.3,10.32,200,1.18,0.9,38.10250412,,NA
2016,1,8,206,Saline,Ames 31904,UGA-SAM1-212,10024,117.5,365,6.01,6.48,846.31,6.31,7,8,NA,NA,1.618835475,230,76,80,87,83.5,1,263,112,15,1.618835475,100,16.66666667,154.71,10.836,200,0.21,0.1,28.46712427,,NA
2016,1,8,208,Saline,Ames 31906,UGA-SAM1-214,9026,127.5,330,4.78,5.13,600.06,3.62,17,18,NA,NA,3.777282774,228,74,138,122,130,1,272,121,33,3.561438044,94.28571429,36.66666667,198.22,6.863,200,0.57,0.16,34.48584718,,NA
2016,1,8,22,Saline,Ames 31716,UGA-SAM1-023,10023,112.5,365,5.97,6.44,727.19,5.09,10,8,NA,NA,1.942602569,232,78,106,95,100.5,2,287,136,14,1.51091311,77.77777778,15.55555556,156.26,6.342,200,0.11,0.06,37.46088499,,NA
2016,1,8,220,Control,Ames 31918,UGA-SAM1-226,1026,127.5,10,0,0,1714,11.14,26,18,NA,NA,4.748584059,231,77,184,186,185,3,272,121,44,NA,NA,48.88888889,182.01,8.688,200,0.7,0.46,33.65267236,,NA
2016,1,8,224,Saline,Ames 31922,UGA-SAM1-230,9020,97.5,330,4.67,5.08,946.26,5.61,29,18,NA,NA,5.072351153,228,74,125,86,105.5,1,287,136,37,3.993127504,78.72340426,41.11111111,196.75,8.62,200,1.03,0.69,33.92478687,,NA
2016,1,8,24,Saline,Ames 31718,UGA-SAM1-025,10022,107.5,365,5.92,6.39,551.15,3.98,15,10,NA,NA,2.698059124,228,74,62,88,75,1,272,121,13,1.402990745,52,14.44444444,178.99,7.199,200,0.42,0.18,39.2705062,,NA
